1,2,3,4,5,6,7,8,9,10,11,12,plateID
0.002,0.003,0.011,0.019,0.016,0.023,0.018,0.022,0.041,0.033,0.031,0.025,Plate1_AB_120Min
0.043,1.517,1.444,1.318,1.116,0.983,0.707,0.500,0.294,0.186,0.118,0.085,Plate1_AB_120Min
0.031,1.235,1.289,1.144,0.822,0.602,0.452,0.298,0.194,0.112,0.074,0.066,Plate1_AB_120Min
0.041,1.205,1.191,1.090,0.889,0.694,0.473,0.311,0.205,0.121,0.095,0.069,Plate1_AB_120Min
0.042,1.143,1.141,0.998,0.836,0.617,0.459,0.270,0.169,0.105,0.080,0.069,Plate1_AB_120Min
0.046,1.279,1.097,1.084,0.881,0.630,0.460,0.272,0.170,0.102,0.071,0.074,Plate1_AB_120Min
0.042,1.389,1.338,1.313,1.143,0.896,0.698,0.486,0.290,0.193,0.112,0.080,Plate1_AB_120Min
0.035,0.031,0.027,0.043,0.040,0.039,0.035,0.036,0.036,0.040,0.038,0.041,Plate1_AB_120Min
0.044,0.031,0.054,0.049,0.058,0.066,0.075,0.056,0.066,0.048,0.041,0.057,Plate2_CD_120Min
0.103,1.586,1.416,1.341,1.312,1.000,0.671,0.434,0.281,0.178,0.154,0.145,Plate2_CD_120Min
0.124,1.465,1.357,1.126,0.971,0.691,0.504,0.297,0.203,0.163,0.115,0.122,Plate2_CD_120Min
0.115,1.480,1.299,1.176,0.992,0.715,0.513,0.367,0.208,0.153,0.142,0.144,Plate2_CD_120Min
0.097,1.518,1.442,1.216,1.009,0.755,0.517,0.352,0.266,0.174,0.151,0.134,Plate2_CD_120Min
0.092,1.552,1.424,1.147,0.972,0.740,0.484,0.314,0.216,0.178,0.153,0.149,Plate2_CD_120Min
0.134,1.665,1.655,1.493,1.309,1.023,0.778,0.527,0.326,0.246,0.184,0.180,Plate2_CD_120Min
0.104,0.112,0.100,0.100,0.117,0.114,0.099,0.094,0.122,0.121,0.110,0.117,Plate2_CD_120Min
0.060,0.042,0.050,0.077,0.062,0.066,0.067,0.070,0.093,0.072,0.076,0.091,Plate3_CD_BMin
0.117,1.684,1.783,1.648,1.448,1.087,0.745,0.516,0.327,0.242,0.225,0.192,Plate3_CD_BMin
0.133,1.580,1.809,1.926,1.917,1.711,1.565,1.392,1.017,0.569,0.472,0.395,Plate3_CD_BMin
0.157,1.668,1.635,1.389,1.129,0.836,0.557,0.363,0.298,0.220,0.210,0.186,Plate3_CD_BMin
0.135,1.684,1.638,1.394,1.094,0.840,0.530,0.358,0.249,0.200,0.205,0.207,Plate3_CD_BMin
0.146,1.794,1.830,1.895,2.022,1.917,1.772,1.386,1.090,0.714,0.479,0.533,Plate3_CD_BMin
