1,2,3,4,5,6,7,8,9,10,11,12,plateID
blank,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,22Aug25_CH_120Min_EHV
blank,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,22Aug25_CH_120Min_EHV
blank,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,22Aug25_CH_120Min_EHV
blank,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,22Aug25_CH_120Min_EHV
blank,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,22Aug25_CH_120Min_EHV
blank,Ser120,Ser120,Ser120,120,120,120,120,120,120,120,120,22Aug25_CH_120Min_EHV
blank,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,22Aug25_CH_120Min_EHV
blank,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,22Aug25_CH_120Min_EHV
blank,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,28Aug25_HP_120Min_EHV
blank,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,28Aug25_HP_120Min_EHV
blank,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,28Aug25_HP_120Min_EHV
blank,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,28Aug25_HP_120Min_EHV
blank,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,28Aug25_HP_120Min_EHV
blank,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,28Aug25_HP_120Min_EHV
blank,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,28Aug25_HP_120Min_EHV
blank,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,28Aug25_HP_120Min_EHV
blank,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,28Aug25_HP_BMin_EHV
blank,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,28Aug25_HP_BMin_EHV
blank,SerB,SerB,SerB,SerB,SerB,SerB,SerB,SerB,SerB,SerB,SerB,28Aug25_HP_BMin_EHV
blank,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,28Aug25_HP_BMin_EHV
blank,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,28Aug25_HP_BMin_EHV
blank,SerB,SerB,SerB,SerB,SerB,SerB,SerB,SerB,SerB,SerB,SerB,28Aug25_HP_BMin_EHV
blank,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,28Aug25_HP_BMin_EHV
blank,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,28Aug25_HP_BMin_EHV
blank,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,05Sep25_CH_120Min_EHV
blank,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,05Sep25_CH_120Min_EHV
blank,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,05Sep25_CH_120Min_EHV
blank,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,05Sep25_CH_120Min_EHV
blank,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,05Sep25_CH_120Min_EHV
blank,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,05Sep25_CH_120Min_EHV
blank,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,05Sep25_CH_120Min_EHV
blank,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,05Sep25_CH_120Min_EHV
blank,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,05Sep25_CH_AParallelism_EHV
blank,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,05Sep25_CH_AParallelism_EHV
blank,SerA,SerA,SerA,SerA,SerA,SerA,SerA,SerA,SerA,SerA,SerA,05Sep25_CH_AParallelism_EHV
blank,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,05Sep25_CH_AParallelism_EHV
blank,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,05Sep25_CH_AParallelism_EHV
blank,SerA,SerA,SerA,SerA,SerA,SerA,SerA,SerA,SerA,SerA,SerA,05Sep25_CH_AParallelism_EHV
blank,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,05Sep25_CH_AParallelism_EHV
blank,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,05Sep25_CH_AParallelism_EHV
blank,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,09Sep25_HP_120Min_EHV
blank,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,09Sep25_HP_120Min_EHV
blank,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,Ser120,09Sep25_HP_120Min_EHV
