plateID,serialID,ParmB_ratio,ParmA_ratio,rp,avgBlank
Plate1_AB_120Min,Ser120,0.933,1.1,0.971,0.055
Plate1_AB_120Min,PC,0.9,1.176,2.749,0.055
Plate2_CD_120Min,Ser120,0.966,0.99,0.923,0.055
Plate2_CD_120Min,PC,1.111,1.011,2.156,0.055
Plate3_CD_BMin,SerB,1.25,1,14.612,0.055
Plate3_CD_BMin,PC,1.079,1.045,2.26,0.055
Plate4_AB_120Min,Ser120,1.003,1.076,0.95,0.055
Plate4_AB_120Min,PC,1.088,1.071,2.347,0.055
Plate5_AB_AParallelism,SerA,1.157,0.847,1.902,0.055
Plate5_AB_AParallelism,PC,1.093,1.007,2.324,0.055
Plate6_CD_120Min,Ser120,0.934,1.138,1.093,0.055
Plate6_CD_120Min,PC,1.15,0.962,2.345,0.055
Plate7_CD_Bmin,SerB,1.25,0.99,14.532,0.055
Plate7_CD_Bmin,PC,1.086,1.026,2.397,0.055
Plate8_AB_AParallelism,SerA,1.069,0.902,2.048,0.055
Plate8_AB_AParallelism,PC,1.093,1.033,2.443,0.055
Plate9_CD_Bmin,SerB,1.149,1.028,13.176,0.055
Plate9_CD_Bmin,PC,1.029,1.03,2.125,0.055
Plate10_AB_AParallelism,SerA,1.099,0.89,1.959,0.055
Plate10_AB_AParallelism,PC,1.116,1.071,2.284,0.055
Plate11_AB_Bparallelism,SerB,1.25,1.028,13.261,0.055
Plate11_AB_Bparallelism,PC,1.062,1.032,2.198,0.055
Plate12_AB_Bparallelism,SerB,1.25,1.109,13.41,0.055
Plate12_AB_Bparallelism,PC,1.042,1.154,2.483,0.055
Plate13_AB_Bmin,SerB,1.18,1.022,15.075,0.055
Plate13_AB_Bmin,PC,1.011,1.038,2.55,0.055
Plate14_AB_Bparallelism,SerB,1.182,1.068,14.392,0.055
Plate14_AB_Bparallelism,PC,1.016,1.04,2.278,0.055
Plate15_CD_Bparallelism,SerB,1.176,1.041,15.104,0.055
Plate15_CD_Bparallelism,PC,1.022,1.04,2.502,0.055
Plate16_CD_120Min,Ser120,0.939,1.054,0.936,0.055
Plate16_CD_120Min,PC,1.063,1.099,2.448,0.055
Plate18_AB_BMin,SerB,1.25,0.98,17.328,0.055
Plate18_AB_BMin,PC,1.098,1.041,2.54,0.055
Plate19_AB_120Min,Ser120,0.898,1.197,1.033,0.055
Plate19_AB_120Min,PC,0.927,1.12,2.524,0.055
Plate20_CD_Aparallelism,SerA,1.241,0.8,1.769,0.055
Plate20_CD_Aparallelism,PC,1.088,1.052,2.536,0.055
Plate21_CD_Bparallelism,SerB,1.25,1.105,14.074,0.055
Plate21_CD_Bparallelism,PC,1.116,1.099,2.693,0.055
Plate22_AB_BMin,SerB,1.25,0.959,17.811,0.055
Plate22_AB_BMin,PC,1.139,1.015,2.641,0.055
Plate24_CD_Aparallelism,SerA,1.14,0.8,2.066,0.055
Plate24_CD_Aparallelism,PC,1.12,1.067,2.829,0.055
Plate25_CD_Bparallelism,SerB,1.25,1.002,15.814,0.055
Plate25_CD_Bparallelism,PC,1.064,1.063,2.629,0.055
Plate26_CD_Aparallelism,SerA,1.038,0.858,2.838,0.055
Plate26_CD_Aparallelism,PC,1.042,1.042,2.882,0.055
Plate28_AB_BMaxTime,SerB,1.25,1.038,19.522,0.055
Plate28_AB_BMaxTime,PC,1.005,1.035,2.698,0.055
Plate30_AB_120MaxTemp,Ser120,1.031,0.959,1.011,0.055
Plate30_AB_120MaxTemp,PC,1.068,1.079,2.741,0.055
Plate31_AB_120MaxTemp,Ser120,0.998,1.1,1.169,0.055
Plate31_AB_120MaxTemp,PC,1.106,1.227,2.833,0.055
Plate32_CD_BMaxTemp,SerB,1.239,1.153,12.177,0.055
Plate32_CD_BMaxTemp,PC,1.021,1.163,2.412,0.055
Plate33_CD_BMaxTime,SerB,1.216,1.08,13.816,0.055
Plate33_CD_BMaxTime,PC,1.123,1.072,2.344,0.055
Plate34_CD_120MaxTime,Ser120,0.955,1.034,0.943,0.055
Plate34_CD_120MaxTime,PC,1.078,1.039,2.34,0.055
Plate35_CD_BMaxTemp,SerB,1.25,1.128,11.878,0.055
Plate35_CD_BMaxTemp,PC,1.109,1.052,2.55,0.055
Plate36_CD_120MaxTemp,Ser120,0.927,1.082,1.125,0.055
Plate36_CD_120MaxTemp,PC,1.069,1.046,2.563,0.055
Plate37_CD_120MaxTime,Ser120,0.959,1.075,1.145,0.055
Plate37_CD_120MaxTime,PC,1.044,1.038,2.42,0.055
Plate38_CD_BMaxTime,SerB,1.25,1.072,11.757,0.055
Plate38_CD_BMaxTime,PC,1.126,1.031,2.237,0.055
Plate39_CD_120MaxTime,Ser120,0.991,0.998,0.922,0.055
Plate39_CD_120MaxTime,PC,1.171,0.994,2.134,0.055
Plate40_CD_BMaxTime,SerB,1.25,1.016,11.921,0.055
Plate40_CD_BMaxTime,PC,1.155,1.032,2.29,0.055
Plate41_CD_120MaxTemp,Ser120,0.994,1.07,1.009,0.055
Plate41_CD_120MaxTemp,PC,1.096,1.144,2.643,0.055
Plate42_CD_BMaxTemp,SerB,1.25,1.139,14.002,0.055
Plate42_CD_BMaxTemp,PC,1.073,1.161,2.577,0.055
Plate43_AB_BMaxTime,SerB,1.165,1.113,15.038,0.055
Plate43_AB_BMaxTime,PC,1.068,1.007,2.239,0.055
Plate44_AB_BMaxTemp,SerB,1.225,1.158,14.998,0.055
Plate44_AB_BMaxTemp,PC,1.055,1.083,2.769,0.055
